n° de ligne,nature,n°/id,"forme ""diplo""",forme modernisée,forme corrigée,lemme,pos,à scinder,à fusionner avec w n°,à corriger,corrigé
1907,w,1907,,ung,,UN,Dn,,,,
1908,w,1908,,oppignion,,OPINION,Nc,,,,
1909,w,1909,,",",,",",Fw,,,,
1910,w,1910,,et,,ET,Cc,,,,
1911,w,1911,,juge,,JUGER,Vvc,,,,
1912,w,1912,,fust,,ÊTRE,Vuc,,,,
1913,w,1913,,ad,,AD,Xe,,,,
1914,w,1914,,ce,,CE,Dd,,,,
1915,w,1915,,descort,,DISCORD,Nc,,,,
1916,w,1916,,et,,ET,Cc,,,,
1917,w,1917,,en,,EN,S,,,,
1918,w,1918,,debat,,DÉBATTRE,Vvc,,,,
1919,w,1919,,",",,",",Fw,,,,
1920,w,1920,,en,,EN,S,,,,
1921,w,1921,,consience,,CONSCIENCE,Nc,,,,
1922,w,1922,,",",,",",Fw,,,,
1923,w,1923,,en,,EN,S,,,,
1924,w,1924,,desclairant,,DÉCLAIRER,Ga,,,,
1925,w,1925,,sa,,SON,Ds,,,,
1926,w,1926,,cause,,CAUSE,Nc,,,,
1927,w,1927,,de,,DE,S,,,,
1928,w,1928,,la,,LE,Da,,,,
1929,w,1929,,doubte,,DOUTE,Nc,,,,
1930,w,1930,,",",,",",Fw,,,,
1931,w,1931,,il,,IL,Pp,,,,
1932,w,1932,,peult,,POUVOIR,Vvc,,,,
1933,w,1933,,differer,,DIFFÉRER,Vvn,,,,
1934,w,1934,,le,,LE,Da,,,,
1935,w,1935,,jugement,,JUGEMENT,Nc,,,,
1936,w,1936,,par,,PAR,S,,,,
1937,w,1937,,coustume,,COUTUME,Nc,,,,
1938,w,1938,,a,,AVOIR,Vuc,,,,
1939,w,1939,,une,,UN,Dn,,,,
1940,w,1940,,autre,,AUTRE,Di,,,,
1941,w,1941,,journée,,JOURNÉE,Nc,,,,
1942,w,1942,,et,,ET,Cc,,,,
1943,w,1943,,commander,,COMMANDER,Vvn,,,,
1944,w,1944,,a,,AVOIR,Vuc,,,,
1945,w,1945,,bailler,,BAILLER,Vvn,,,,
1946,w,1946,,par,,PAR,S,,,,
1947,w,1947,,escript,,ÉCRIRE,Ge,,,,
1948,w,1948,,jouxte,,JOUXTER,Vvc,,,,
1949,w,1949,,ce,,CE,Pd,,,,
1950,w,1950,,que,,QUE,Pr,,,,
1951,w,1951,,dit,,DIRE,Ge,,,,
1952,w,1952,,est,,ÊTRE,Vuc,,,,
1953,w,1953,,",",,",",Fw,,,,
1954,w,1954,,jasoit,,JÀ|JASER,Rg|Vvc,,,X,
1955,w,1955,,ce,,CE,Pd,,,,
1956,w,1956,,que,,QUE,Pr,,,,
1957,w,1957,,",",,",",Fw,,,,
1958,w,1958,,par,,PAR,S,,,,
1959,w,1959,,ladicte,,LEDIT,Dd,,,,
1960,w,1960,,coustume,,COUTUME,Nc,,,,
1961,w,1961,,",",,",",Fw,,,,
1962,w,1962,,il,,IL,Pp,,,,
1963,w,1963,,ne,,NE,Rp,,,,
1964,w,1964,,doye,,DEVOIR,Vvc,,,,
1965,w,1965,,arrester,,ARRÊTER,Vvn,,,,
1966,w,1966,,et,,ET,Cc,,,,
1967,w,1967,,jugier,,JUGER,Vvn,,,,
1968,w,1968,,le,,LE,Da,,,,
1969,w,1969,,jugement,,JUGEMENT,Nc,,,,
1970,w,1970,,en,,EN,S,,,,
1971,w,1971,,soy,,SE,Pp,,,,
1972,w,1972,,accordant,,ACCORDER,Ga,,,,
1973,w,1973,,",",,",",Fw,,,,
1974,w,1974,,quant,,QUANT,Rg,,,,
1975,w,1975,,ad,,AD,Xe,,,,
1976,w,1976,,ce,,CE,Pd,,,,
1977,w,1977,,",",,",",Fw,,,,
1978,w,1978,,en,,EN,S,,,,
1979,w,1979,,la,,LE,Da,,,,
1980,w,1980,,greigneur,,GRAINDRE,Ag,,,,
1981,w,1981,,et,,ET,Cc,,,,
1982,w,1982,,plus,,PLUS,Rg,,,,
1983,w,1983,,saine,,SAIN,Ag,,,,
1984,w,1984,,partie,,PARTIE,Nc,,,,
1985,w,1985,,des,,UN,Dn,,,,
1986,w,1986,,assistens,,ASSISTANT,Nc,,,,
1987,w,1987,,devant,,DEVANT,S,,,,
1988,w,1988,,dis,,DIRE,Ge,,,,
1989,w,1989,,",",,",",Fw,,,,
1990,w,1990,,comme,,COMME,Cs,,,,
1991,w,1991,,ces,,CE,Dd,,,,
1992,w,1992,,choses,,CHOSE,Nc,,,,
1993,w,1993,,peult,,POUVOIR,Vvc,,,,
1994,w,1994,,plus,,PLUS,Rg,,,,
1995,w,1995,,a,,AVOIR,Vuc,,,,
1996,w,1996,,plain,,PLEIN,Ag,,,,
1997,w,1997,,aparoir,,APPAROIR,Vvn,,,,
1998,w,1998,,par,,PAR,S,,,,
1999,w,1999,,les,,LE,Da,,,,
2000,w,2000,,cappitres,,CHAPITRE,Nc,,,,
2001,w,2001,,de,,DE,S,,,,
2002,w,2002,,ladite,,LEDIT,Dd,,,,
2003,w,2003,,coustume,,COUTUME,Nc,,,,
2004,w,2004,,de,,DE,S,,,,
2005,w,2005,,ce,,CE,Pd,,,,
2006,w,2006,,faisant,,FAIRE,Ga,,,,
2007,w,2007,,mencion,,MENTION,Nc,,,,
2008,w,2008,,.,,.,Fs,,,,
2009,w,2009,,Item,,ITEM,Rg,,,,
2010,w,2010,,",",,",",Fw,,,,
2011,w,2011,,et,,ET,Cc,,,,
2012,w,2012,,supposé,,SUPPOSER,Ge,,,,
2013,w,2013,,que,,QUE,Cs,,,,
2014,w,2014,,partie,,PARTIE,Nc,,,,
2015,w,2015,,voulsist,,VOULOIR,Vvc,,,,
2016,w,2016,,l,,IL,Pp,,,,
2017,w,2017,,',,',Fw,,,,
2018,w,2018,,autre,,AUTRE,Di,,,,
2019,w,2019,,partie,,PARTIE,Nc,,,,
2020,w,2020,,contraindre,,CONTRAINDRE,Vvn,,,,
2021,w,2021,,a,,AVOIR,Vuc,,,,
2022,w,2022,,proceder,,PROCÉDER,Vvn,,,,
2023,w,2023,,",",,",",Fw,,,,
2024,w,2024,,neantmoins,,NÉANMOINS,Rg,,,,
2025,w,2025,,le,,LE,Da,,,,
2026,w,2026,,juge,,JUGE,Nc,,,,
2027,w,2027,,",",,",",Fw,,,,
2028,w,2028,,pour,,POUR,S,,,,
2029,w,2029,,certaines,,CERTAIN,Di,,,,
2030,w,2030,,causes,,CAUSE,Nc,,,,
2031,w,2031,,qui,,QUI,Pr,,,,
2032,w,2032,,a,,AVOIR,Vuc,,,,
2033,w,2033,,ce,,CE,Pd,,,,
